,reaction,GPR,score
1167,AOXSr2,PADL01_1415400-t36_1-p1,122.5
1168,AP4AH,(PADL01_0802200-t36_1-p1 or PADL01_1436900-t36_1-p1),67.8
1170,AP4AS,(PADL01_1349200-t36_1-p1 or PADL01_1416500-t36_1-p1),358.6
1171,AP5AH,PADL01_0802200-t36_1-p1,44.7
1172,APAPTm,PADL01_1127200-t36_1-p1,271.6
1177,APCPT,PADL01_1420300-t36_1-p1,83.2
1178,APCS,PADL01_1127200-t36_1-p1,188.7
1196,APNPT,PADL01_1420300-t36_1-p1,83.2
1197,APNn,(PADL01_1320400-t36_1-p1 or PADL01_1320500-t36_1-p1),139.4
1211,APhi,PADL01_1109700-t36_1-p1,66.6
1215,ARABDI,PADL01_0504300-t36_1-p1,201.8
1224,ARBTNexs,spontaneous,0.0
1230,ARBt2r,PADL01_0205000-t36_1-p1,53.5
1231,ARBt2rpp,PADL01_0203500-t36_1-p1,122.1
1237,ARGDC,PADL01_0405300-t36_1-p1,436.4
1243,ARGN,PADL01_0905600-t36_1-p1,166.8
1244,ARGN_1,PADL01_0905600-t36_1-p1,172.2
1251,ARGTRS,PADL01_1219100-t36_1-p1,406.0
1262,ARMT,PADL01_1426000-t36_1-p1,308.9
1293,ASNS1,PADL01_0308300-t36_1-p1,612.5
1297,ASNTRAT,(PADL01_0415300-t36_1-p1 and PADL01_0627000-t36_1-p1),82.7
1298,ASNTRS,(PADL01_0100500-t36_1-p1 or PADL01_0210600-t36_1-p1 or PADL01_0508400-t36_1-p1),445.3
1300,ASNTRSm,PADL01_0210600-t36_1-p1,445.3
1313,ASO4rt2rpp,PADL01_1340000-t36_1-p1,65.9
1318,ASPATh,PADL01_0203300-t36_1-p1,192.2
1319,ASPCT,(PADL01_1307000-t36_1-p1 or PADL01_1343900-t36_1-p1),1007.3
1322,ASPCTn,PADL01_1307000-t36_1-p1,1007.3
1324,ASPGLU2m,PADL01_0908000-t36_1-p1,59.7
1347,ASPTA,PADL01_0203300-t36_1-p1,192.2
1349,ASPTAm,PADL01_0203300-t36_1-p1,192.2
1351,ASPTRS,(PADL01_0100500-t36_1-p1 or PADL01_0513300-t36_1-p1),375.2
1353,ASPTRSm,PADL01_0100500-t36_1-p1,355.5
1376,ATAMh,(PADL01_0108500-t36_1-p1 or PADL01_0109000-t36_1-p1 or PADL01_0414800-t36_1-p1),150.6
1377,ATDAMh,(PADL01_0108500-t36_1-p1 or PADL01_0109000-t36_1-p1 or PADL01_0414800-t36_1-p1),150.6
1378,ATDAMm,(PADL01_0108500-t36_1-p1 or PADL01_0414800-t36_1-p1),150.6
1379,ATDGDm,PADL01_1365400-t36_1-p1,182.2
1380,ATGDm,PADL01_1365400-t36_1-p1,182.2
1382,ATHRDHr,PADL01_0624200-t36_1-p1,73.9
1387,ATP2tp_H,PADL01_1367600-t36_1-p1,45.4
1391,ATPH1,PADL01_1431800-t36_1-p1,79.0
1394,ATPHs,spontaneous,0.0
1395,ATPM,spontaneous,0.0
1396,ATPPHm,(PADL01_0617400-t36_1-p1 or PADL01_1431800-t36_1-p1),184.1
1399,ATPS1,(PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1),160.1875
1400,ATPS10_3,(PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1),160.1875
1401,ATPS10rpp,(PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1),146.5
1402,ATPS3g,(PADL01_0405700-t36_1-p1 and PADL01_0518200-t36_1-p1 and PADL01_0518200-t36_1-p1 and PADL01_0806300-t36_1-p1 and PADL01_1138300-t36_1-p1 and PADL01_1305400-t36_1-p1 and PADL01_1310800-t36_1-p1 and PADL01_1341000-t36_1-p1 and PADL01_1353500-t36_1-p1 and PADL01_1464600-t36_1-p1),190.05384615384614
1403,ATPS3m,((PADL01_0215900-t36_1-p1 and PADL01_0704600-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1)),143.36999999999998
1404,ATPS3v,(PADL01_0405700-t36_1-p1 and PADL01_0518200-t36_1-p1 and PADL01_0518200-t36_1-p1 and PADL01_0806300-t36_1-p1 and PADL01_1138300-t36_1-p1 and PADL01_1305400-t36_1-p1 and PADL01_1310800-t36_1-p1 and PADL01_1341000-t36_1-p1 and PADL01_1353500-t36_1-p1 and PADL01_1464600-t36_1-p1),191.56923076923078
