,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
LPLIPAL1G120,,,not in model,nonlethal,nonlethal,,,,,,,,,
ATPPHm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MALDDH,,,not in model,not in model,not in model,,,,,,,,,
TIH2CD,,,not in model,not in model,not in model,,,,,,,,,
MMTSAO,,,not in model,not in model,not in model,,,,,,,,,
EX_pgp120_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pa120_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G3PAT160,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_serphelys_e,,,not in model,not in model,not in model,,,,,,,,,
ARBTpts,,,not in model,not in model,not in model,,,,,,,,,
HDSc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLDAGAT1801819Z1819Z1,,,not in model,nonlethal,not in model,,,,,,,,,
NACODA,,,not in model,not in model,not in model,,,,,,,,,
EX_pheme_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
BGLA,,,not in model,not in model,not in model,,,,,,,,,
DGTSD5DS18111Z1835Z9Z12Z,,,not in model,not in model,not in model,,,,,,,,,
INSTt2,,,not in model,nonlethal,not in model,,,,,,,,,
EX_12dgr140_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLPSD18111Z1819Z,,,not in model,not in model,not in model,,,,,,,,,
AGPATCOA1819Z1819Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CTPS1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PGLCNDH,,,not in model,not in model,not in model,,,,,,,,,
DHRT_ivcoac,,,not in model,not in model,not in model,,,,,,,,,
RNDR5,,,not in model,nonlethal,nonlethal,,,,,,,,,
NH4t4,,,not in model,not in model,not in model,,,,,,,,,
ALDD2y,,,not in model,not in model,not in model,,,,,,,,,
EX_ps180_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SK_trnaarg_c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AOXSr2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
NICRNS,,,not in model,not in model,not in model,,,,,,,,,
PIt2r,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PGLYCP,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GGCHLDARc,,,not in model,not in model,not in model,,,,,,,,,
ATPS10_3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ADCL,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GBEZ,,,not in model,not in model,not in model,,,,,,,,,
DHPPDA,,,not in model,not in model,not in model,,,,,,,,,
DASYN182_9_12,,,nonlethal,not in model,nonlethal,,,,,,,,,
HPROa,,,not in model,not in model,nonlethal,,,,,,,,,
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,,,not in model,nonlethal,not in model,,,,,,,,,
AGPATCOA18111Z160,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
NODOx,,,not in model,not in model,not in model,,,,,,,,,
CYO1bpp_sync,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MI1345PKnc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PALFATPtc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SAM24MT,,,not in model,not in model,not in model,,,,,,,,,
EX_12dgr120_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALDD12,,,not in model,not in model,not in model,,,,,,,,,
DGTSDS18111Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
HISLYSTHRr,,,not in model,not in model,not in model,,,,,,,,,
MCITL2m,,,not in model,not in model,not in model,,,,,,,,,
TMDPK,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HCGALm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GLUS_ferrc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FASm1601,,,not in model,not in model,not in model,,,,,,,,,
AHSERL,,,not in model,not in model,not in model,,,,,,,,,
pe_prod15,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pe1801819Z_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PMEVK,,,not in model,not in model,not in model,,,,,,,,,
OPAH,,,not in model,not in model,not in model,,,,,,,,,
OHPHM,,,nonlethal,nonlethal,not in model,,,,,,,,,
S4FE4ST,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
r0432_1,,,not in model,not in model,not in model,,,,,,,,,
ALCDH_nadp_hic,,,not in model,not in model,not in model,,,,,,,,,
EX_12dgr180_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HIBHr,,,not in model,nonlethal,nonlethal,,,,,,,,,
PANTS,,,not in model,not in model,not in model,,,,,,,,,
EX_ileargile_e,,,nonlethal,not in model,not in model,,,,,,,,,
RH3CD,,,not in model,not in model,not in model,,,,,,,,,
DHPS2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LYSARGLEUr,,,not in model,not in model,not in model,,,,,,,,,
FEROt,,,not in model,not in model,not in model,,,,,,,,,
AGPAT141,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALATA_L,,,not in model,not in model,not in model,,,,,,,,,
EX_pe141_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G3PD1ir_ap,,,nonlethal,not in model,not in model,,,,,,,,,
CITALOR,,,not in model,not in model,not in model,,,,,,,,,
SQDGS_PALM_PALM,,,not in model,not in model,not in model,,,,,,,,,
EX_12ppd__S_e,,,not in model,not in model,not in model,,,,,,,,,
MTHFO,,,not in model,not in model,not in model,,,,,,,,,
PHCYT_BS,,,not in model,not in model,nonlethal,,,,,,,,,
TEICH45,,,not in model,not in model,not in model,,,,,,,,,
PCW3DS_PALM_ALNA_sn2_c,,,not in model,nonlethal,not in model,,,,,,,,,
TAGAH18111Z18111Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
ADPDA,,,not in model,not in model,not in model,,,,,,,,,
r1143,,,not in model,not in model,not in model,,,,,,,,,
NDPK7,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
