,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
ATPS3m,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
H2CO3D,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
ACOAR3mc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,lethal
EX_nad_e,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
CYSDDS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SPMDOX,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
HMR_2332,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PLDAGAT16018111Z1819Z4,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
HACD6i,not in model,not in model,not in model,not in model,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
DHAD2,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CYTDK2,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ALCD22yi,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
D_LACDm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
EPMGH,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FAMPL5,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
AMAOTr,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
ALDD2x,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
DUTPDP,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,lethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
FACOAL170_ISO,lethal,lethal,lethal,lethal,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
CPPPGO,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,not in model,lethal,not in model,lethal
DHORD5,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,lethal
CYSTGLUex,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
RE3165C,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
APH141,not in model,not in model,not in model,not in model,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
3OXCOAT,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,lethal
DHFR,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
TAGAH1801819Z1835Z9Z12Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ADCL,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
HMR_3966,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DES_6,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,lethal
MAN1PT2,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,nonlethal,lethal,nonlethal
LPCAT_EPA_EPA_sn2_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3OAS121_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_lineth_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
2HPMMBQMOmc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
INSTt2,lethal,lethal,not in model,lethal,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
PNTOte,lethal,lethal,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
FAS141ACPm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
EX_LalaDgluMdap_e,not in model,not in model,not in model,not in model,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
FTHFD,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
CELLBabc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,not in model
NIabc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
G3PAT141,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,nonlethal,not in model,nonlethal
NTRARf,not in model,not in model,not in model,lethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_ocdca_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
GLGNS1,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
EX_ibt_e,not in model,not in model,not in model,not in model,lethal,,,lethal,not in model,,lethal,lethal,not in model,not in model
PSIredc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DASYN160190,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
GLYATxc,not in model,not in model,not in model,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
FPGS4_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACCOAL2,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
METOX1s,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
KAS14,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
S4FE4SR,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
LLDH_ferr_mc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
CTECOAI8,lethal,lethal,not in model,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
GLXO1,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
PCW3DS_EPA_EPA_sn2_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
3NTD2pp_1c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
MDH,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
RNDR2,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_glyc3p_e,lethal,lethal,not in model,lethal,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
pe_prod1,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SK_trnaval_c,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DNADDP,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
dgl_prod2,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
XYLTD_D,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,not in model,not in model,lethal
AGPATCOA1819Z1819Z,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,not in model,lethal,not in model,not in model
CHOPT_EPA_EPA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
XYLe,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DASYN183_9_12_15,lethal,lethal,lethal,not in model,lethal,,,not in model,lethal,,not in model,lethal,not in model,not in model
13PPDH,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
THZPSN,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
CYOR_q8_m,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ACOADH2,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ACACt2m,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
GLCURt2r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
LPEAT_EPA_ALNA_sn2_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACGS,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
OIVD1r,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
KAS14_1c,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,not in model
HMPK2,not in model,not in model,lethal,not in model,lethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
SO4t2,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
LEUtm,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
EX_glu__L_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
HACD2i,not in model,not in model,not in model,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
TAGAH1819Z1819Z18111Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
XYLOS1,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
RBK_Dr,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
NNAM,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,nonlethal,not in model,nonlethal
HBtr,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
CLPNS2_BS,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
ACOADAGAT16018111Z1819Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ACACT6pc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
MECDPDH5,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
EX_sertrphis_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DGDGGH1829Z12Z1617Zc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
