,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
ALPHNH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HCO3abc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
AMALT1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYOX,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SUCLm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ECOAH4,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_murein5px3p_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
OMCDC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACP1619ZD9DSc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SELCYSTLh,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MBCOAi,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NIabc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FBA2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ZHYc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EHGLATm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH1819Z18111Z1845Z9Z12Z15Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EAR140y,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
BTS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LEUTA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGW6DS1829Z12Z1627Z10Z2c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PYK3,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLNS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACP1819ZD9DS_h,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_ser__L_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HVCD,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PYDXO_1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
METAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGGH1819Z1617Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DRPA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PE18111Z1845Z9Z12Z15Zt,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FCLT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLBRAN2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ABUTDm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
THFOR2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_salchs4fe_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLPT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LEUt2r,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DHDPS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
THRTRSm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGGH1839Z12Z15Z160c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ARBabc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYTA_1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ASNTRS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLNTRS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAS260,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CERS324,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TMDPP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH18111Z18111Z1845Z9Z12Z15Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EAR160y,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LCYSTAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ETHAPT_MYRS_MYRS_c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASm320,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
G3PAT141,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA181COAabcpc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CYTP450R,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CPMPS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ORNTArm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PGSA140,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL181t2ppc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA180COAabcpc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASm1801,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_pgp18111Z160_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MGDGW3DS1839Z12Z15Z1637Z10Z13Z1c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FBA3hic,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PAPSR,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MCTC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MCOATA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CD2abc2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASC220ACP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA161COAabcpc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FRNDPR2r,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HEMELm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SCYSDS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NADPHQR2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GGLGH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FTHFDH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_drib_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
URFGTT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
VALTA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
2AGPEAT120,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EAR40_m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
A3GALT5c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOADH2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH1801819Z1819Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PPNCL,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGGH1819Z1637Z10Z13Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL140_ISO,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ADPRDP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASC141ACP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EAR40x,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
protein_bm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACTNabc1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
G3PT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
BADP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
KAS11,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DAGK1819Z1819Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
