,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
pro__L_e,produced,produced,produced,produced,produced,not present in model,not present in model
dhpmp_c,produced,produced,produced,produced,produced,produced,produced
3odecACP_c,produced,produced,produced,produced,produced,not present in model,produced
2mpdhl_m,produced,produced,not present in model,produced,produced,not present in model,produced
pe1819Z1835Z9Z12Z_c,produced,produced,produced,produced,produced,neither,produced
3omrsACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
cd2_e,neither,neither,neither,not present in model,neither,not present in model,neither
gtp_c,produced,produced,produced,produced,produced,produced,produced
cit_c,produced,produced,neither,produced,produced,produced,produced
2oxpaccoa_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
3odecACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
nac_c,produced,produced,neither,produced,produced,neither,produced
octdp_c,produced,produced,not present in model,produced,produced,not present in model,produced
ocdcecoa_c,produced,produced,produced,produced,produced,produced,produced
ACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
skm_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
s_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
dgtp_m,produced,produced,not present in model,produced,produced,not present in model,produced
glyald_e,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
8aonn_c,produced,produced,produced,produced,produced,produced,produced
trnaleu_c,neither,neither,neither,neither,neither,neither,neither
trnaglu_c,neither,neither,neither,neither,neither,neither,neither
6txan5mp_c,produced,produced,not present in model,produced,produced,not present in model,produced
cdpdodec91215eg_c,produced,produced,not present in model,produced,produced,not present in model,produced
34dhpha_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
actn__R_e,not present in model,not present in model,produced,not present in model,not present in model,neither,neither
gp4g_c,neither,neither,neither,not present in model,not present in model,not present in model,not present in model
pmeACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
1pyr5c_c,neither,neither,not present in model,produced,produced,not present in model,produced
thmpp_c,produced,produced,not present in model,produced,produced,produced,produced
sufbcd_4fe4s_c,produced,produced,not present in model,produced,produced,not present in model,produced
meoh_c,produced,produced,not present in model,neither,neither,not present in model,neither
acac_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
mycolate_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
lnlncg_c,neither,neither,neither,neither,neither,neither,neither
ps160_e,produced,produced,not present in model,neither,neither,neither,neither
adn_m,produced,produced,not present in model,produced,produced,not present in model,produced
3ocddec5eACP_c,produced,produced,produced,produced,produced,not present in model,produced
hemeA_m,produced,produced,not present in model,produced,produced,not present in model,produced
cdp12dgr18111Z160_c,produced,produced,not present in model,produced,produced,produced,produced
iscu_c,produced,produced,produced,produced,produced,produced,produced
cdp12dgr1819Z160_c,produced,produced,not present in model,produced,produced,produced,produced
salcn_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
1ddecg3p_c,produced,produced,not present in model,produced,produced,neither,produced
3hddecACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
unk2_BS_c,produced,produced,not present in model,produced,produced,not present in model,produced
ggicolipaBR1_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
arbt_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
o2_c,produced,produced,neither,produced,produced,produced,produced
mm_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
so3_e,produced,produced,not present in model,produced,produced,produced,produced
metarhodopsin_c,produced,produced,not present in model,produced,produced,not present in model,produced
gthrd_e,produced,produced,produced,produced,produced,produced,produced
but2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
2ommbl_5_m,produced,produced,not present in model,produced,produced,not present in model,produced
ficytc_c,produced,produced,not present in model,produced,produced,neither,produced
occoa_c,produced,produced,produced,produced,produced,produced,produced
idp_c,produced,produced,produced,produced,produced,produced,produced
nac_m,produced,produced,not present in model,produced,produced,not present in model,not present in model
2agpg181_c,neither,neither,neither,neither,neither,not present in model,neither
mlthf_c,produced,produced,neither,produced,produced,produced,produced
alpro_c,produced,produced,produced,produced,produced,not present in model,produced
glyb_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
pan4p_c,produced,produced,produced,produced,produced,not present in model,produced
trnalys_c,neither,neither,neither,neither,neither,neither,neither
4abut_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3c4mop_c,produced,produced,not present in model,neither,neither,not present in model,neither
omtta_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
grxox_c,produced,produced,not present in model,produced,produced,produced,produced
pgp120_c,neither,neither,neither,produced,produced,neither,produced
g3pe_c,produced,produced,neither,produced,neither,produced,neither
caphis_c,neither,neither,neither,neither,neither,neither,not present in model
3mhtpp_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
doldpglcnacglcnacman_man_man_c,produced,produced,not present in model,produced,produced,not present in model,produced
toctd2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
cer3_26_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
trnathr_c,neither,neither,neither,neither,neither,neither,neither
dcdp_c,produced,produced,produced,produced,produced,produced,produced
4h2oglt_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
fecrm_e,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
dgmp_c,produced,produced,produced,produced,produced,neither,produced
Lcyst_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
lys__L_e,not present in model,not present in model,produced,not present in model,produced,neither,produced
ile__L_e,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
octe_9_ACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
mercplac_c,produced,produced,not present in model,produced,produced,not present in model,produced
selcys_c,neither,neither,produced,produced,produced,not present in model,produced
r1p_c,neither,neither,produced,neither,neither,produced,neither
dc2coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
2mppal_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
12dgr160_c,not present in model,not present in model,produced,neither,neither,produced,neither
ch4s_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
abt_c,not present in model,not present in model,not present in model,produced,produced,produced,not present in model
lipa_c,neither,neither,neither,neither,neither,neither,neither
pgp160_c,neither,neither,neither,produced,produced,neither,produced
hxdceal_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
dhap_m,produced,produced,not present in model,produced,produced,not present in model,produced
ptd145bp_SC_c,produced,produced,produced,produced,produced,produced,produced
dmlgnc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ficytc6_e,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
Nfortyr_c,neither,neither,not present in model,neither,neither,not present in model,not present in model
glc__D_e,neither,neither,produced,produced,produced,produced,produced
dump_c,produced,produced,produced,produced,produced,produced,produced
lgnACP_c,produced,produced,produced,produced,produced,not present in model,produced
s7p_c,produced,produced,produced,produced,produced,produced,produced
arab__L_c,neither,neither,neither,neither,neither,neither,neither
cenchddd_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
cysam_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
fecost_e,produced,produced,neither,neither,neither,neither,neither
3ocvac11eACP_c,produced,produced,produced,produced,produced,not present in model,produced
aproa_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
dttp_c,produced,produced,produced,produced,produced,produced,produced
zymst_c,produced,produced,neither,neither,neither,neither,neither
metox__R_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pydx5p_c,produced,produced,produced,produced,produced,neither,produced
clpn181_c,produced,produced,not present in model,produced,produced,not present in model,produced
dhlam_m,produced,produced,not present in model,produced,produced,not present in model,produced
acrn_m,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
tag1819Z1819Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
dhpppn_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
tagdp__D_c,produced,produced,produced,not present in model,not present in model,produced,not present in model
tmrs2eACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
gam6p_c,produced,produced,produced,produced,produced,produced,produced
acACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
gdpofuc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
glyc_c,produced,produced,produced,produced,produced,produced,produced
pa18111Z1819Z_c,produced,produced,produced,produced,produced,neither,produced
akg_m,produced,produced,not present in model,produced,produced,not present in model,produced
3oocoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3hcpalm9eACP_c,produced,produced,produced,produced,produced,not present in model,produced
tag18111Z18111Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
2cpr5p_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
ocdcyaACP_c,produced,produced,produced,produced,produced,not present in model,produced
pydam_c,produced,produced,neither,produced,produced,not present in model,produced
tag1819Z18111Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
thrtrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
dgsn_c,produced,produced,produced,produced,produced,neither,produced
xtsn_c,produced,produced,produced,produced,produced,neither,produced
dtdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
no_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
ghb_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
thym_c,not present in model,not present in model,produced,produced,produced,produced,not present in model
mmalsa__S_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
eca4colipa_c,neither,neither,neither,neither,neither,neither,neither
fum_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
uaaAgtla_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
h2s_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dtdp_c,produced,produced,produced,produced,produced,produced,produced
lipa_e,neither,neither,neither,neither,neither,neither,neither
dolp_c,produced,produced,neither,produced,produced,produced,produced
h2_c,produced,produced,produced,produced,produced,produced,produced
2dhphaccoa_c,produced,produced,not present in model,produced,produced,not present in model,produced
orot_m,produced,produced,not present in model,produced,produced,not present in model,produced
beheneACP_c,produced,produced,produced,produced,produced,not present in model,produced
ttdcal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
chol_e,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
phpyr_c,produced,produced,produced,produced,produced,not present in model,produced
dca_c,produced,produced,produced,produced,produced,produced,produced
valtrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
egly_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
3hgrdp_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
protdt_c,neither,neither,not present in model,neither,neither,not present in model,neither
na1_c,produced,produced,neither,produced,produced,neither,produced
tag1801819Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
succoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
3hoctACP_c,produced,produced,produced,produced,produced,not present in model,produced
btamp_c,produced,produced,not present in model,produced,produced,not present in model,produced
arsenb_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
udpg_c,produced,produced,produced,neither,neither,produced,neither
5aop_m,produced,produced,not present in model,produced,produced,not present in model,produced
ala__L_m,produced,produced,not present in model,produced,produced,not present in model,produced
25aics_c,neither,neither,not present in model,neither,neither,not present in model,neither
cdpdodec11eg_c,produced,produced,produced,produced,produced,not present in model,produced
man6pglyc_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
kmeroacidcyc2ACP_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
34dhoxpeg_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
fe3dcit_e,not present in model,not present in model,not present in model,neither,neither,neither,not present in model
alpam_m,produced,produced,not present in model,produced,produced,not present in model,produced
p_tol_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
ind3ac_c,produced,produced,produced,produced,produced,not present in model,produced
q8_c,produced,produced,neither,produced,produced,neither,produced
3oddcoa_c,produced,produced,not present in model,produced,produced,produced,produced
mi145p_c,produced,produced,neither,produced,produced,not present in model,produced
mmtsa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
selnp_c,produced,produced,not present in model,produced,produced,not present in model,produced
pa120_e,produced,produced,neither,produced,produced,produced,produced
dxyl_c,neither,neither,neither,neither,neither,not present in model,neither
h_c,produced,produced,produced,produced,produced,produced,produced
f1p_c,neither,neither,produced,neither,neither,neither,neither
g6p_B_c,produced,produced,not present in model,produced,produced,not present in model,produced
q6_m,produced,produced,not present in model,produced,produced,not present in model,produced
succ_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
ham_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
tag1819Z1819Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
dgdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
ferrich_c,neither,neither,not present in model,not present in model,neither,neither,not present in model
glyc_m,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
uri_m,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
ttdceap_c,produced,produced,not present in model,produced,produced,not present in model,produced
2mbtoh_c,not present in model,not present in model,produced,not present in model,produced,produced,not present in model
3snpyr_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
actACP_c,produced,produced,produced,produced,produced,not present in model,produced
tag1819Z1819Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
2omhmbl_5_m,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
ade_c,produced,produced,produced,produced,produced,produced,produced
met__L_e,produced,produced,produced,produced,produced,neither,not present in model
gg4abut_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
sprm_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
crn__D_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
adhlam_m,produced,produced,not present in model,produced,produced,not present in model,produced
cytP450r_c,produced,produced,not present in model,produced,produced,not present in model,produced
eca4colipa_e,neither,neither,neither,neither,neither,neither,neither
metsox_R__L_c,neither,neither,neither,neither,neither,not present in model,neither
doldpglcnac_c,produced,produced,produced,produced,produced,not present in model,produced
cdpdag_BS_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tdcoa_c,produced,produced,produced,produced,produced,produced,produced
hco3_m,neither,neither,not present in model,neither,neither,not present in model,neither
harab__D_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
zxan_c,neither,neither,not present in model,neither,neither,not present in model,neither
pa181_c,produced,produced,neither,produced,produced,produced,produced
focytcc_c,not present in model,neither,not present in model,not present in model,not present in model,not present in model,not present in model
3mb_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
malthx_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
uaagtmda_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tag6p__D_c,neither,neither,produced,not present in model,not present in model,neither,not present in model
glutrna_c,produced,produced,produced,produced,produced,produced,produced
aracheACP_c,produced,produced,produced,produced,produced,not present in model,produced
doldpglcnacglcnacman_c,neither,neither,produced,produced,produced,not present in model,produced
u3aga_c,produced,produced,not present in model,produced,produced,not present in model,produced
trnacys_c,neither,neither,neither,neither,neither,neither,neither
ficytc6_c,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
mobd_c,neither,neither,neither,neither,neither,neither,neither
cbtnCCP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
12dgr1819Z1819Z_c,neither,neither,produced,produced,produced,produced,produced
n2_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
pser__L_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
conialdh_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
sl26da_c,neither,neither,neither,neither,neither,not present in model,neither
uaagmda_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
trnaleu_m,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
trnaala_c,neither,neither,neither,neither,neither,neither,neither
e4p_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
sucorn_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
ctp_c,produced,produced,produced,produced,produced,produced,produced
13dpg_m,produced,produced,not present in model,produced,produced,not present in model,produced
btnso_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
enlipidA_LptA_e,neither,neither,neither,neither,neither,neither,neither
cell4_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
acetone_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
cmp_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
f420_2_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
ocdcap_c,produced,produced,not present in model,produced,produced,not present in model,produced
5aop_c,produced,produced,not present in model,produced,produced,not present in model,not present in model
atp_m,produced,produced,not present in model,produced,produced,not present in model,produced
c190cACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
glyc3p_c,produced,produced,produced,produced,produced,produced,produced
thfglu_c,produced,produced,not present in model,produced,produced,produced,produced
pa1801819Z_c,produced,produced,produced,produced,produced,neither,produced
enlipidA_e,neither,neither,neither,neither,neither,neither,neither
dnad_m,produced,produced,not present in model,neither,neither,not present in model,neither
qh2_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
cer1_26_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
hmtria_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ddcoa_c,not present in model,not present in model,not present in model,neither,neither,neither,neither
35cdamp_c,neither,neither,not present in model,neither,neither,not present in model,neither
pcrd_e,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
pa_SA_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
fe3_c,neither,neither,neither,produced,produced,produced,not present in model
fa11coa_c,produced,produced,produced,produced,produced,produced,produced
dhbpt_c,not present in model,not present in model,not present in model,not present in model,produced,not present in model,not present in model
cinnm_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
cdpdag_SC_m,produced,produced,not present in model,produced,produced,not present in model,produced
pta_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
ala_B_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ind3acnl_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
2h3opp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
glc__bD_c,neither,neither,produced,produced,produced,not present in model,produced
fa19a_c,produced,produced,not present in model,produced,produced,not present in model,produced
taur_c,neither,neither,neither,neither,neither,neither,neither
pant__R_c,not present in model,not present in model,not present in model,produced,produced,neither,produced
photon450_c,not present in model,not present in model,not present in model,not present in model,neither,not present in model,neither
pa_SC_m,neither,neither,not present in model,neither,neither,not present in model,neither
dhnpt_c,produced,produced,produced,produced,produced,produced,produced
asn__L_e,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pe_SC_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
fdp_c,produced,produced,produced,neither,neither,produced,neither
rhcys_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
ser__D_c,not present in model,not present in model,neither,not present in model,not present in model,neither,not present in model
gln__L_e,not present in model,not present in model,not present in model,produced,produced,neither,produced
pe18111Z1835Z9Z12Z_e,produced,produced,produced,produced,produced,neither,produced
frmd_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
tag18111Z1819Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
3hdecACP_c,produced,produced,produced,produced,produced,not present in model,produced
3ohxccoa_c,not present in model,not present in model,not present in model,produced,produced,neither,produced
3hcvac11eACP_c,produced,produced,produced,produced,produced,not present in model,produced
ocdcea_c,produced,produced,produced,produced,produced,produced,produced
ptdcal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
4mop_m,produced,produced,not present in model,produced,produced,not present in model,produced
tchola_c,neither,neither,neither,neither,neither,not present in model,neither
pe161_c,produced,produced,produced,produced,produced,neither,produced
indpyr_c,produced,produced,produced,produced,produced,not present in model,produced
2fe2s_c,produced,produced,produced,produced,produced,produced,produced
msh_c,not present in model,not present in model,not present in model,not present in model,neither,not present in model,not present in model
pro__L_c,produced,produced,produced,produced,produced,produced,produced
acmanap_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
glntrna_c,produced,produced,produced,produced,produced,produced,produced
trnaarg_c,neither,neither,neither,neither,neither,neither,neither
mi1456p_c,produced,produced,produced,produced,produced,not present in model,produced
3hhdcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
1pyr5c_m,neither,neither,not present in model,produced,produced,not present in model,produced
pe1801845Z9Z12Z15Z_e,produced,produced,produced,produced,produced,neither,produced
trnaval_c,neither,neither,neither,neither,neither,neither,neither
35cgmp_c,produced,produced,not present in model,produced,produced,not present in model,produced
mgdg1819Z1619Z_c,neither,neither,not present in model,produced,produced,not present in model,produced
dhap_c,produced,produced,produced,produced,produced,produced,produced
4hproaraaragal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
alatrna_c,produced,produced,produced,produced,produced,produced,produced
mgdg1819Z160_c,neither,neither,not present in model,produced,produced,not present in model,produced
hxc2coa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
malttr_e,not present in model,not present in model,not present in model,not present in model,produced,not present in model,produced
1odec9eg3p_c,produced,produced,not present in model,produced,produced,produced,produced
accoa_c,produced,produced,produced,produced,produced,produced,produced
sucr_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
glyclt_m,produced,produced,not present in model,produced,produced,not present in model,produced
q8h2_m,produced,produced,not present in model,produced,produced,not present in model,produced
pe141_e,produced,produced,produced,produced,produced,neither,produced
glc__aD_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
tungs_c,neither,neither,not present in model,neither,neither,neither,neither
tag1601819Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
3mbald_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
malthp_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
glyb_e,not present in model,not present in model,neither,produced,produced,not present in model,not present in model
opmeACP_c,produced,produced,neither,produced,produced,not present in model,produced
gdpmann_c,produced,produced,produced,produced,produced,produced,produced
arachcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
alltt_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
fa6_c,produced,produced,produced,produced,produced,neither,produced
23dhdp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ap5a_c,neither,neither,neither,not present in model,not present in model,not present in model,not present in model
echin_c,produced,produced,not present in model,produced,produced,not present in model,produced
cbasp_m,produced,produced,not present in model,produced,produced,not present in model,produced
ocdycacoa_c,produced,produced,produced,produced,produced,produced,produced
phthr_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3php_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
allphn_c,produced,produced,not present in model,produced,produced,not present in model,produced
3hpp_c,not present in model,not present in model,produced,produced,produced,produced,produced
glu5p_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tag16018111Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
glc__D_c,neither,neither,produced,produced,produced,produced,produced
pgp18111Z160_c,neither,neither,neither,produced,produced,neither,produced
hxan_c,neither,neither,produced,produced,produced,produced,produced
tag1801819Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
thm_e,neither,neither,not present in model,neither,neither,not present in model,neither
acon_T_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
feoxam_c,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
34hpp_c,produced,produced,produced,produced,produced,not present in model,produced
minohp_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
progly_c,neither,neither,neither,neither,neither,neither,neither
2mhob_m,produced,produced,not present in model,produced,produced,not present in model,produced
peamn_c,produced,produced,not present in model,produced,produced,not present in model,produced
mgdg1819Z1627Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
asnglcnacglcnacman_man_manman_manman_manmanmanglc_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
sqdg1839Z12Z15Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
arach_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
allul6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
cu_c,neither,neither,not present in model,neither,neither,not present in model,neither
dgdg1829Z12Z1637Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
ethso3_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,neither
2me4p_c,produced,produced,not present in model,produced,produced,not present in model,produced
ferrich_e,neither,neither,not present in model,not present in model,neither,neither,not present in model
3oddecACP_c,produced,produced,produced,produced,produced,not present in model,produced
seramp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ca2_c,neither,neither,neither,neither,neither,neither,neither
gsn_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
2dr1p_c,not present in model,not present in model,produced,not present in model,not present in model,produced,not present in model
nicrns_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
1agpe180_c,produced,produced,neither,produced,neither,neither,neither
metsox_S__L_c,neither,neither,neither,neither,neither,not present in model,neither
ptcoa_c,not present in model,not present in model,produced,neither,neither,not present in model,produced
aps_c,produced,produced,produced,produced,produced,produced,produced
tyrtrna_c,produced,produced,produced,produced,produced,produced,produced
chtbs6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
hdca_m,produced,produced,not present in model,produced,produced,not present in model,produced
ACP_c,produced,produced,produced,produced,produced,produced,produced
uacgala_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
lpro_m,produced,produced,not present in model,produced,produced,not present in model,produced
mal__L_m,produced,produced,not present in model,produced,produced,not present in model,produced
tag16018111Z180_c,not present in model,not present in model,neither,produced,produced,produced,produced
butACP_c,produced,produced,produced,produced,produced,not present in model,produced
ppcoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
mqn6_c,produced,produced,not present in model,neither,produced,not present in model,produced
d12dg_BS_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
succ_m,produced,produced,not present in model,produced,produced,not present in model,produced
hpa_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
actACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dnac_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
ocdca_e,produced,produced,produced,produced,produced,produced,produced
cdigmp_c,not present in model,not present in model,not present in model,neither,neither,not present in model,produced
fdxo_42_c,not present in model,not present in model,produced,produced,produced,produced,neither
2dhp_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dgdg1819Z1634Z7Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
glu5sa_c,produced,produced,produced,produced,produced,not present in model,produced
butso3_e,not present in model,not present in model,neither,neither,neither,neither,neither
2mop_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
ppmi1346p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
trnamet_c,neither,neither,neither,neither,neither,neither,neither
tdec2eACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
3hddcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pgp_SC_m,produced,produced,not present in model,not present in model,not present in model,not present in model,produced
dmpp_c,produced,produced,produced,produced,produced,produced,produced
tag1801819Z1819Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
trnasecys_m,neither,neither,not present in model,neither,neither,not present in model,neither
